time,event
0,"experiment started"
0.010287699999935285,"A then B"
3.7372239999999692,"first stim audio cue started playing"
4.363109800000075,"first audio cue finished playing"
7.998898499999996,"second stim audio cue started playing"
8.634011099999952,"second audio cue finished playing"
10.717773899999884,"participant responded: 2"
10.720110499999919,"1 of 14 complete"
10.736902699999973,"B then A"
13.848181099999692,"first stim audio cue started playing"
14.583939199999804,"first audio cue finished playing"
18.19798949999995,"second stim audio cue started playing"
18.85421640000004,"second audio cue finished playing"
20.65845769999987,"participant responded: 1"
20.66081639999993,"2 of 14 complete"
20.677036300000054,"B then A"
23.788829000000078,"first stim audio cue started playing"
24.423232999999982,"first audio cue finished playing"
28.03777289999971,"second stim audio cue started playing"
28.702954200000022,"second audio cue finished playing"
30.0660769000001,"participant responded: 1"
30.068516199999976,"3 of 14 complete"
30.08437589999994,"A then B"
33.1987180000001,"first stim audio cue started playing"
33.9029201999997,"first audio cue finished playing"
37.518631800000094,"second stim audio cue started playing"
38.17284410000002,"second audio cue finished playing"
40.3601407000001,"participant responded: 1"
40.3649362000001,"4 of 14 complete"
40.38001429999986,"A then B"
43.49757460000001,"first stim audio cue started playing"
44.11281809999991,"first audio cue finished playing"
47.726515500000005,"second stim audio cue started playing"
48.39283040000009,"second audio cue finished playing"
49.64646799999991,"participant responded: 1"
49.64896009999984,"5 of 14 complete"
49.6655037999999,"B then A"
52.778045799999745,"first stim audio cue started playing"
53.40313239999978,"first audio cue finished playing"
57.01682720000008,"second stim audio cue started playing"
57.683213799999976,"second audio cue finished playing"
58.33875339999986,"participant responded: 2"
58.341555799999696,"6 of 14 complete"
58.35738749999973,"B then A"
61.46861549999994,"first stim audio cue started playing"
62.133782399999745,"first audio cue finished playing"
65.74560709999969,"second stim audio cue started playing"
66.41279369999984,"second audio cue finished playing"
67.12972450000007,"participant responded: 2"
67.13189699999975,"7 of 14 complete"
67.14814709999973,"B then A"
70.26440169999978,"first stim audio cue started playing"
70.86412590000009,"first audio cue finished playing"
74.47817329999998,"second stim audio cue started playing"
75.14283139999998,"second audio cue finished playing"
76.2871854,"participant responded: 2"
76.28942499999994,"8 of 14 complete"
76.30593819999967,"A then B"
79.42123439999978,"first stim audio cue started playing"
80.15311389999988,"first audio cue finished playing"
83.76877229999991,"second stim audio cue started playing"
84.4240335999998,"second audio cue finished playing"
86.0322415999999,"participant responded: 2"
86.03848569999991,"9 of 14 complete"
86.06500879999976,"A then B"
89.18187689999968,"first stim audio cue started playing"
89.81276249999974,"first audio cue finished playing"
93.42948179999985,"second stim audio cue started playing"
94.08388419999983,"second audio cue finished playing"
95.41861130000007,"participant responded: 2"
95.42089889999988,"10 of 14 complete"
95.4375086,"A then B"
98.54981700000008,"first stim audio cue started playing"
99.2929350999998,"first audio cue finished playing"
102.90603509999983,"second stim audio cue started playing"
103.5631244000001,"second audio cue finished playing"
104.52640840000004,"participant responded: 1"
104.52882509999972,"11 of 14 complete"
104.54476840000007,"B then A"
107.65951049999967,"first stim audio cue started playing"
108.39370310000004,"first audio cue finished playing"
112.00836320000008,"second stim audio cue started playing"
112.66310429999976,"second audio cue finished playing"
115.49845759999971,"participant responded: 2"
115.50052619999997,"12 of 14 complete"
115.51749459999974,"B then A"
118.63157279999996,"first stim audio cue started playing"
119.35391410000011,"first audio cue finished playing"
122.96824119999974,"second stim audio cue started playing"
123.62342059999992,"second audio cue finished playing"
125.10739669999975,"participant responded: 1"
125.10959180000009,"13 of 14 complete"
125.12513480000007,"A then B"
128.23680289999993,"first stim audio cue started playing"
128.8238739999997,"first audio cue finished playing"
132.4416911999997,"second stim audio cue started playing"
133.09457829999974,"second audio cue finished playing"
134.4492412999998,"participant responded: 2"
134.45362870000008,"14 of 14 complete"
134.4763081000001,"experiment finished"
