trial-number,standard,comparison,comparison.more.intense,presentation.order,response
1,600.0,100.0,0,standard first,1
2,600.0,800.0,1,standard first,2
3,600.0,800.0,1,standard second,1
4,600.0,900.0,0,standard second,2
5,600.0,250.0,0,standard second,2
6,600.0,100.0,1,standard second,1
7,600.0,600.0,0,standard second,2
8,600.0,250.0,0,standard first,1
9,600.0,400.0,1,standard first,2
10,600.0,900.0,0,standard first,1
11,600.0,1000.0,0,standard first,1
12,600.0,600.0,1,standard first,2
13,600.0,1000.0,1,standard second,1
14,600.0,400.0,1,standard second,1
15,600.0,1000.0,1,standard first,2
16,600.0,800.0,0,standard first,1
17,600.0,400.0,0,standard second,2
18,600.0,600.0,1,standard second,1
19,600.0,900.0,1,standard first,2
20,600.0,100.0,1,standard second,1
21,600.0,900.0,0,standard second,2
22,600.0,800.0,1,standard second,1
23,600.0,400.0,1,standard first,2
24,600.0,1000.0,0,standard second,2
25,600.0,100.0,0,standard first,1
26,600.0,250.0,1,standard second,1
27,600.0,250.0,0,standard first,1
28,600.0,600.0,0,standard first,1
