time,event
0,"experiment started"
0.014080800000556337,"A then B"
3.800561099999868,"first stim audio cue started playing"
4.392553399999997,"first audio cue finished playing"
8.004682700000558,"second stim audio cue started playing"
8.661783000000469,"second audio cue finished playing"
20.277012399999876,"participant responded: 1"
20.279635200000484,"1 of 28 complete"
20.2964578000001,"A then B"
23.411252500000046,"first stim audio cue started playing"
24.08119859999988,"first audio cue finished playing"
27.695879300000342,"second stim audio cue started playing"
28.36110749999989,"second audio cue finished playing"
34.4297559000006,"participant responded: 2"
34.43260939999982,"2 of 28 complete"
34.448601099999905,"B then A"
37.56127900000047,"first stim audio cue started playing"
38.2011250000005,"first audio cue finished playing"
41.81631710000056,"second stim audio cue started playing"
42.47174450000057,"second audio cue finished playing"
46.36802970000008,"participant responded: 1"
46.37106800000038,"3 of 28 complete"
46.38809330000004,"B then A"
49.49995240000044,"first stim audio cue started playing"
50.092112199999974,"first audio cue finished playing"
53.70399890000044,"second stim audio cue started playing"
54.360925699999825,"second audio cue finished playing"
58.28934340000069,"participant responded: 2"
58.29160170000068,"4 of 28 complete"
58.308876000000055,"B then A"
61.42117870000038,"first stim audio cue started playing"
62.16131399999995,"first audio cue finished playing"
65.77331219999996,"second stim audio cue started playing"
66.44144400000005,"second audio cue finished playing"
71.77668369999992,"participant responded: 2"
71.77927490000002,"5 of 28 complete"
71.79549159999988,"B then A"
74.9102182000006,"first stim audio cue started playing"
75.54095330000018,"first audio cue finished playing"
79.15357900000072,"second stim audio cue started playing"
79.81157960000019,"second audio cue finished playing"
108.24078530000043,"participant responded: 1"
108.24326689999998,"6 of 28 complete"
108.26058730000022,"B then A"
111.37540880000051,"first stim audio cue started playing"
111.95053250000001,"first audio cue finished playing"
115.5623384999999,"second stim audio cue started playing"
116.2206286999999,"second audio cue finished playing"
134.4153451000002,"participant responded: 2"
134.41784430000007,"7 of 28 complete"
134.43506210000032,"A then B"
137.5454290000007,"first stim audio cue started playing"
138.1422805000002,"first audio cue finished playing"
141.7560610999999,"second stim audio cue started playing"
142.41194820000055,"second audio cue finished playing"
142.97418650000054,"participant responded: 1"
142.9774554000005,"8 of 28 complete"
142.99425150000025,"A then B"
146.10635809999985,"first stim audio cue started playing"
146.68283370000063,"first audio cue finished playing"
150.2962559000007,"second stim audio cue started playing"
