time,event
0,"experiment started"
0.009451900001295144,"(14, 8) then (8, 4)"
37.08543380000083,"participant responded: 2"
37.09302190000017,"1 of 5 complete"
37.12112010000055,"(4, 8) then (18, 8)"
105.41430150000087,"participant responded: 1"
105.41708550000112,"2 of 5 complete"
105.43361689999983,"(8, 4) then (14, 4)"
148.23811060000116,"participant responded: 2"
148.24057300000095,"3 of 5 complete"
148.25838410000142,"(14, 8) then (4, 4)"
207.06981110000015,"participant responded: 1"
207.0769900000014,"4 of 5 complete"
207.1026536999998,"(4, 4) then (14, 4)"
243.43120050000107,"experiment aborted"
